Name,DistrictId
Chișinău,10
Codru,10
Cricova,10
Durlești,10
Sîngera,10
Vadul Lui Vodă,10
Vatra,10
Băcioi,10
Bîc,10
Brăila,10
Bubuieci,10
Budești,10
Buneți,10
Ceroborta,10
Cheltuitori,10
Ciorescu,10
Colonița,10
Condrița,10
Cruzești,10
Dobrogea,10
Dumbrava,10
Făuresti,10
Frumușica,10
Ghidighici,10
Goian,10
Goianul Nou,10
Grătiești,10
Hulboaca,10
Humulești,10
Revaca,10
Stăuceni,10
Străisteni,10
Tohatin,10
Trușeni,10
Văduleni,10
Bălți,3
Elizaveta,3
Sadovoe,3
Ceadîr-Lunga,11
Comrat,11
or. Vulcănești,11
Alexeevca,11
Avdarma,11
Baurci,11
Beșalma,11
Beșghioz,11
Bugeac,11
Carbalia,11
Cazaclia,11
Chioselia Rusă,11
Chiriet-Lunga,11
Chirsova,11
Cioc-Maidan,11
Cismichioi,11
Congaz,11
Congazcicul de Jos,11
Congazcicul de Sus,11
Copceac,11
Cotovscoe,11
Dezghingea,11
Dudulești,11
Etulia,11
Etulia Nouă,11
Ferapontievca,11
Gaidar,11
Joltai,11
Svetlîi,11
Tomai,11
s. Vulcănești,11
Camenca,36
Crasnoe,36
Dnestrovsc,36
Dubăsari,36
Grigoriopol,36
Maiac,36
Rîbnița,36
Slobozia,36
Tiraspol,36
Tiraspolul Nou,36
Afansievca,36
Alexandrovca,36
Alexandrovca Nouă,36
Andreevca,36
Andriașevca Nouă,36
Andriașevca Veche,36
Basarabca,36
Beloci,36
Bîcioc,36
Blijnii Hutor,36
Bodeni,36
Bosca,36
Brosteni,36
Bruslachi,36
Buschi,36
Butor,36
Butuceni,36
Calinovca,36
Caragaș,36
Carmanova,36
Caterinovca,36
Cernița,36
Chirov,36
Cioburciu,36
Cobasna,36
Coicova,36
Colosova,36
Comisarovca Nouă,36
Constantinovca,36
Corotna,36
Coșnița Nouă,36
Cotovca,36
Crasnaia Besarabia,36
Crasnaia Gorca,36
Crasnencoe,36
Crasnîi Octeabri,36
Crasnîi Vinogradari,36
Crasnoe,36
Crasnogorca,36
Cuzmin,36
Delacău,36
Dimitrova,36
Doibani 1,36
Doibani 2,36
Dubău,36
Dzerjinscoe,36
Fedoseevca,36
Frunză,36
Frunzăuca,36
Gherșunovca,36
Ghidirim,36
Goian,36
Goianul Nou,36
Haraba,36
Harmațca,36
Hîrjău,36
Hîrtop,36
Hlinaia,36
Hristovaia,36
Hrușca,36
Iagorlîc,36
Iantarnoe,36
India,36
Ivanovca,36
Jura,36
Lenin,36
Lîsaia Gora,36
Lunga,36
Lunga Nouă,36
Mălăiești,36
Marian,36
Mihailovca ,36
Mihailovca Nouă,36
Mocearovca,36
Mocra,36
Mocreachi,36
Molochișul Mare,36
Molochișul Mic,36
Nezavertailovca,36
Nicolscoe,36
Novaia Jizni,36
Novocotovsc,36
Novosavițcaia,36
Novovladimirovca,36
Ocnița,36
Ofatinți,36
Parcani,36
Pervomaisc,36
Pîcalova,36
Plopi,36
Pobeda,36
Podoima,36
Podoimița,36
Pohrebea Nouă,36
Popencu,36
Prioziornoe,36
Rașcov,36
Roghi,36
Rotari,36
Sadchi,36
Sărăței,36
Șevcenco,36
Severinovca,36
Șipca,36
Slobozia-Rașcov,36
Șmalena,36
Socolovca,36
Solnecinoe,36
Sovietscoe,36
Speia,36
Stanislavca,36
Stroiești,36
Sucleia,36
Suhaia Rîbnița,36
Tașlîc,36
Teiu,36
Tibuleuca,36
Tîrnauca,36
Tocmagiu,36
Uiutnoe,36
Ulmu,36
Ulmul Mic,36
Vadul Turcului,36
Valea Adîncă,36
Vărăncău,36
Vasilievca,36
Vesioloe,36
Vinogradnoe,36
Vladimirovca,36
Voitovca,36
Zaporojeț,36
Zăzuleni,36
Bender,4
Proteagailovca,4
Anenii Noi,1
Albinița,1
Balmaz,1
Batîc,1
Beriozchi,1
Botnărești,1
Botnăreștii noi,1
Bulboaca,1
Calfa,1
Calfa Nouă,1
Chetrosu,1
Chirca,1
Ciobanovca,1
Cobusca Nouă,1
Cobusca Veche,1
Crețoaia,1
Delacău,1
Floreni,1
Florești,1
Geamăna,1
Gura Bîcului,1
Hîrbovăț,1
Hîrbovățul Nou,1
Larga,1
Maximovca,1
Mereni,1
Merenii Noi,1
Mirnoe,1
Nicolaevca,1
Ochiul Roș,1
Picus,1
Puhăceni,1
Roșcani,1
Ruseni,1
Salcia,1
Șerpeni,1
Socoleni,1
Speia,1
Telița,1
Telița Nouă,1
Țînțăreni,1
Todirești,1
Troița Nouă,1
Varnița,1
Zolotievca,1
Basarabeasca,2
Abaclia,2
Bașcalia,2
Bogdanovca,2
Carabetovca,2
Carabiber,2
Iordanovca,2
Iserlia,2
Ivanovca,2
Sadaclia,2
Briceni,5
Lipcani,5
Balasinești,5
Bălcăuți,5
Beleavinți,5
Berlinți,5
Bezeda,5
Bocicăuți,5
Bogdănești,5
Bulboaca,5
Caracușenii Noi,5
Caracușenii Vechi,5
Chirilovca,5
Colicauți,5
Corjeuți,5
Coteala,5
Cotiujeni,5
Criva,5
Drepcăuți,5
Grimăncăuți,5
Grimești,5
Groznița,5
Halahora de Jos,5
Halahora de Sus,5
Hlina,5
Larga,5
Mărcăuți,5
Mărcăuții Noi,5
Medveja,5
Mihăileni,5
Pavlovca,5
Pererîta,5
Șirăuți,5
Slobozia-Medveja,5
Slobozia-Șirăuți,5
Tabani,5
Tețcani,5
Trebisăuți,5
Trestieni,5
Cahul,6
Alexanderfeld,6
Alexandru Ioan Cuza,6
Andrușul de Jos,6
Andrușul de Sus,6
Badicul Moldovenesc,6
Baurci-Moldoveni,6
Borceag,6
Brînza,6
Bucuria,6
Burlăceni,6
Burlacu,6
Chioselia Mare,6
Chircani,6
Cîșlița-Prut,6
Colibași,6
Cotihana,6
Crihana Veche,6
Cucoara,6
Doina,6
Frumușica,6
Găvănoasa,6
Giurgiulești,6
Greceni,6
Huluboaia,6
Hutulu,6
Iasnaia Poleana,6
Iujnoe,6
Larga Nouă,6
Larga Veche,6
Lebedenco,6
Lopățica,6
Lucești,6
Manta,6
Moscovei,6
Nicolaevca,6
Paicu,6
Pașcani,6
Pelinei,6
Roșu,6
Rumeantev,6
Sătuc,6
Slobozia Mare,6
Spicoasa,6
Taraclia de Salcie,6
Trataul de Salcie,6
Tătărești,6
Tretești,6
Trifeștii Noi,6
Tudorești,6
Ursoaia,6
Vadul lui Isac,6
Văleni,6
Vladimirovca,6
Zîrnești,6
Călărași,8
Bahmut,8
Bahu,8
Bravicea,8
Buda,8
Bularda,8
Căbăiești,8
Dereneu,8
Duma,8
Frumoasa,8
Hîrbovăț,8
Hîrjauca,8
Hirova,8
Hoginești,8
Horodiște,8
Leordoaia,8
Meleșeni,8
Mîndra,8
Nișcani,8
Novaci,8
Onișcani,8
Oricova,8
Palanca,8
Parcani,8
Păulești,8
Peticeni,8
Pîrjolteni,8
Pitușca,8
Podul Lung,8
Răciula,8
Rădeni,8
Sadova,8
Săseni,8
Schinoasa,8
Seliștea Nouă,8
Sipoteni,8
Sverida,8
Temeleuți,8
Țibirica,8
Tuzara,8
Ursari,8
Valcineț,8
Vărzăreștii Noi,8
Cantemir,7
Acui,7
Alexandrovca,7
Antonești,7
Baimaclia,7
Bobocica,7
Cania,7
Capaclia,7
Chioselia,7
Cîietu,7
Ciobalaccia,7
Cîrpești,7
Cîșla,7
Cociulia,7
Constantinești,7
Coștangalia,7
Crăciun,7
Dimitrova,7
Enichioi,7
Flocoasa,7
Floricica,7
Ghioltosu,7
Gotești,7
Hănăseni,7
Haragîș,7
Hîrtop,7
Iepureni,7
Lărguța,7
Leca,7
Lingura,7
Pleșeni,7
Plopi,7
Popovca,7
Porumbești,7
Sadîc,7
Șamalia,7
Șofranovca,7
Stoianovca,7
Suhat,7
Taraclia,7
Țărăncuța,7
Tartaul,7
Tătărășeni,7
Țiganca,7
Țiganca Nouă,7
Toceni,7
Țolica,7
Victorovca,7
Vîlcele,7
Vișniovca,7
or. Căinari,9
Căușeni,9
Baccealia,9
Baimaclia,9
Baurci,9
s. Căinari,9
Chircăiești,9
Chircăieștii Noi,9
Chițcani,9
Cîrnățeni,9
Cîrnățenii Noi,9
Ciuflești,9
Constantinovca,9
Copanca,9
Coșcalia,9
Cremenciug,9
Fîrlădeni,9
Florica,9
Gîsca,9
Grădinița,9
Grigorievca,9
Hagimus,9
Leuntea,9
Marianca de Sus,9
Merenești,9
Opaci,9
Pervomaisc,9
Plop,9
Plopi-Știubei,9
Săiți,9
Sălcuța,9
Sălcuța Nouă,9
Ștefănești,9
Surchiceni,9
Tănătari,9
Tănătarii Noi,9
Taraclia,9
Tocuz,9
Tricolici,9
Ucrainca,9
Ursoaia,9
Ursoaia Nouă,9
Valea Verde,9
Zahorna,9
Zaim,9
Zviozdocica,9
Cimișlia,12
Albina,12
Artimonovca,12
Batîr,12
Bogdanovca Nouă,12
Bogdanovca Veche,12
Cenac,12
Ciucur-Mingir,12
Codreni,12
Coștangalia,12
Dimitrovca,12
Ecaterinovca,12
Fetița,12
Gradiște,12
Gura Galbenei,12
Hîrtop,12
Ialpug,12
Ialpujeni,12
Iurievca,12
Ivanovca Nouă,12
Javgur,12
Lipoveni,12
Marienfeld,12
Maximeni,12
Mereni,12
Mihailovca,12
Munteni,12
Porumbrei,12
Prisaca,12
Sagaidac,12
Sagaidacul Nou,12
Satul Nou,12
Schinoșica,12
Selemet,12
Suric,12
Topala,12
Troițcoe,12
Valea Perjei,12
Zloți,12
Criuleni,13
Bălăbănești,13
Bălăsești,13
Bălțata,13
Bălțata de Sus,13
Boșcana,13
Chetroasa,13
Cimișeni,13
Ciopleni,13
Corjova,13
Coșernița,13
Cruglic,13
Dolinnoe,13
Drăsliceni,13
Dubăsarii Vechi,13
Hîrtopul Mare,13
Hîrtopul Mic,13
Hrușova,13
Ișnovăț,13
Izbiște,13
Jevreni,13
Logănești,13
Măgdăcești,13
Mălăiești,13
Mălăieștii Noi,13
Mardareuca,13
Mășcăuți,13
Miclești,13
Ohrincea,13
Onițcani,13
Pașcani,13
Porumbeni,13
Răculești,13
Ratuș,13
Rîșcova,13
Sagaidac,13
Sagaidacul de Sus,13
Slobozia-Dușca,13
Stețcani,13
Valea Coloniței,13
Valea Satului,13
Zăicana,13
Zolonceni,13
or. Dondușeni,14
Arionești,14
Baraboi,14
Boroseni,14
Braicău,14
Briceni,14
Briceva,14
Caraiman,14
Cernoleuca,14
Climăuți,14
Codrenii Noi,14
Corbu,14
Crișcăuți,14
s. Dondușeni,14
Elenovca,14
Elizavetovca,14
Frasin,14
Horodiște,14
Moșana,14
Octeabriscoe,14
Pivniceni,14
Plop,14
Pocrovca,14
Rediul Mare,14
Scăieni,14
Sudarca,14
Țaul,14
Teleșeuca,14
Teleșeuca Nouă,14
Tîrnova,14
or. Drochia,15
Antoneuca,15
Baroncea,15
Baroncea Nouă,15
Ceapaevca,15
Chetrosu,15
Cotova,15
Dominteni,15
s. Drochia,15
Fîntînița,15
Ghizdita,15
Gribova,15
Hăsnășenii Mari,15
Hăsnășenii Noi,15
Holoșnița Nouă,15
Iliciovca,15
Lazo,15
Măcăreuca,15
Maramonovca,15
Miciurin,15
Mîndîc,15
Moara de Piatră,15
Nicoreni,15
Ochiul Alb ,15
Palanca,15
Pelinia,15
Pervomaiscoe,15
Petreni,15
Popeștii de Jos,15
Popeștii de Sus,15
Popeștii Noi,15
Șalvirii Noi,15
Șalvirii Vechi,15
Sergheuca,15
Sofia,15
Șuri,15
Șurii Noi,15
Țarigrad,15
Zgurița,15
Cocieri,16
Corjova,16
Coșnița,16
Doroțcaia,16
Holercani,16
Mahala,16
Mărcăuți,16
Molovata,16
Molovata Nouă,16
Oxentea,16
Pîrîta,16
Pohrebea,16
Ustia,16
Vasilievca,16
Cupcini,17
Edineț,17
Alexăndreni,17
Alexeevca,17
Bădragii Noi,17
Bădragii Vechi,17
Bleșteni,17
Brătușeni,17
Brătușenii Noi,17
Brînzeni,17
Burlănești,17
Buzdugeni,17
Cepeleuți,17
Chetroșica Nouă,17
Chetroșica Veche,17
Chiurt,17
Clișcăuți,17
Constantinovca,17
Corpaci,17
Cuconeștii Noi,17
Cuconeștii Vechi,17
Fetești,17
Fîntîna Albă,17
Gașpar,17
Goleni,17
Gordinești,17
Gordineștii Noi,17
Hancăuți,17
Hincăuți,17
Hlinaia,17
Hlinaia Mică,17
Iachimeni,17
Lopatnic,17
Onești,17
Parcova,17
Poiana,17
Rîngaci,17
Rotunda,17
Ruseni,17
Slobodca,17
Șofrîncani,17
Stolniceni,17
Terebna,17
Tîrnova,17
Trinca,17
Vancicăuți,17
Viișoara,17
Volodeni,17
Zăbriceni,17
Fălești,18
Albinețul Nou,18
Albinețul Vechi,18
Beleuți,18
Bocani,18
Bocșa,18
Burghelea,18
Călinești,18
Călugăr,18
Catranîc,18
Chetriș,18
Chetrișul Nou,18
Ciolacu Nou,18
Ciolacu Vechi,18
Ciuluc,18
Comarovca,18
Cuzmenii Vechi,18
Doltu,18
Drujineni,18
Egorovca,18
Făgădău,18
Făleștii Noi,18
Frumușica,18
Glinjeni,18
Hiliuți,18
Hîncești,18
Hîrtop,18
Hitrești,18
Horești,18
Hrubna Nouă,18
Ilenuța,18
Ișcălău,18
Ivanovca,18
Izvoare,18
Logofteni,18
Lucăceni,18
Măgura,18
Măgura Nouă,18
Măgureanca,18
